Date,open,high,close,low,volume,macd,macdsignal,rsi,stoch,ma1,ma2,ma3,ema,cci,bblower,bbupper,roc,atr
2015-08-28T01:00,224.66,228.60,228.07,222.77,2390,-0.36,4.97,76.67,95.25,223.23,223.23,225.78,228.69,51.24,212.36,234.10,0,6.23
2015-08-28T05:00,228.07,228.33,226.71,226.21,1397,-0.46,4.86,73.24,90.99,223.40,223.40,226.05,228.90,58.10,213.41,235.26,0,5.93
2015-08-28T09:00,226.87,231.82,229.79,226.23,3583,-0.35,4.77,75.87,94.26,224.59,223.69,226.69,229.58,109.44,214.21,236.15,0.02,5.91
2015-08-28T13:00,229.82,238.90,234.65,229.44,10606,0.01,4.77,79.32,98.55,225.63,224.16,227.39,230.99,257.76,214.72,237.72,0.04,6.16
2015-08-28T17:00,234.65,235.71,231.83,231.33,2250,0.01,4.77,72.81,90.46,226.49,224.48,227.71,231.70,188.60,215.81,237.41,0.02,6.03
2015-08-28T21:00,231.83,234.03,231.76,231.32,1160,-0.04,4.76,72.65,90.26,226.85,224.78,227.96,232.27,145.29,216.51,237.63,0.02,5.8
2015-08-29T01:00,231.76,233.77,232.48,231.49,750,-0.07,4.75,73.30,91.07,227.33,225.07,228.29,232.86,128.97,217.11,238.01,0.02,5.55
2015-08-29T05:00,232.49,232.49,231.70,230.00,1482,-0.17,4.70,71.33,88.62,227.76,225.32,228.66,233.22,85.46,217.64,238.63,0.03,5.33
2015-08-29T09:00,231.69,231.89,229.86,227.88,3103,-0.39,4.61,66.77,0.00,228.22,225.48,228.98,233.17,38.37,218.26,238.58,0.02,5.23
2015-08-29T13:00,229.87,230.30,228.06,228.04,1263,-0.66,4.44,62.56,0.00,228.40,225.57,229.08,232.80,5.62,218.95,238.00,0,5.02
2015-08-29T17:00,228.18,233.95,230.75,227.16,2421,-0.67,4.27,66.01,19.35,228.58,225.74,229.37,232.92,53.70,219.73,237.49,0.02,5.15
2015-08-29T21:00,230.91,233.96,231.54,230.60,1950,-0.62,4.12,66.97,26.31,228.75,226.63,229.65,233.14,82.29,220.38,237.25,0.01,5.02
2015-08-30T01:00,231.54,231.59,229.93,229.13,696,-0.71,3.94,63.06,2.98,228.87,227.21,229.83,233.03,30.95,220.86,237.15,-0.02,4.84
2015-08-30T05:00,229.93,230.92,229.53,227.68,1317,-0.78,3.75,62.08,0.00,229.03,227.73,230.09,232.84,4.19,221.25,237.20,-0.01,4.72
2015-08-30T09:00,229.53,230.50,227.24,227.12,1501,-0.97,3.51,56.69,0.00,229.13,227.83,230.26,232.26,-32.07,221.52,236.99,-0.02,4.63
2015-08-30T13:00,227.32,228.00,227.50,225.20,1886,-1.05,3.24,57.15,2.03,229.17,228.00,230.22,231.78,-73.39,221.77,236.85,-0.02,4.5
2015-08-30T17:00,227.50,230.00,229.99,227.50,1311,-0.91,3.01,61.34,20.55,229.34,228.24,230.44,231.78,-9.00,222.22,236.68,-0.01,4.35
2015-08-30T21:00,229.99,230.14,227.99,226.59,1377,-0.94,2.78,56.56,0.00,229.38,228.50,230.32,231.43,-39.07,222.51,236.46,-0.01,4.3
2015-08-31T01:00,227.97,228.40,227.29,226.81,522,-0.97,2.54,54.94,0.00,229.38,228.61,229.83,230.98,-67.37,222.63,236.50,0,4.1
2015-08-31T05:00,227.29,232.15,230.32,225.31,2311,-0.78,2.34,60.23,28.81,229.60,228.72,229.73,231.10,-21.58,222.95,236.75,0,4.3
2015-08-31T09:00,230.56,232.52,231.75,229.50,2832,-0.54,2.21,62.47,45.94,229.94,228.84,229.73,231.45,46.09,223.44,236.63,0,4.21
2015-08-31T13:00,231.74,233.69,231.76,230.60,2947,-0.38,2.11,62.49,62.76,230.12,228.99,229.68,231.74,67.80,223.74,236.83,0.01,4.13
2015-08-31T17:00,231.76,232.49,230.62,230.18,951,-0.36,2.02,59.40,37.07,230.30,229.14,229.61,231.78,27.56,224.12,236.54,0,4
2015-08-31T21:00,231.06,232.39,229.93,229.52,1166,-0.39,1.93,57.54,21.61,230.31,229.30,229.61,231.69,17.52,225.15,235.03,0.01,3.92
2015-09-01T01:00,229.93,230.65,228.95,228.95,1610,-0.46,1.81,54.92,0.00,230.04,229.37,229.67,231.43,-26.36,225.57,234.32,0.01,3.76
2015-09-01T05:00,228.95,229.21,228.46,227.10,1406,-0.53,1.68,53.60,0.00,229.88,229.44,229.52,231.10,-80.47,225.90,233.66,-0.01,3.64
2015-09-01T09:00,228.45,229.64,228.32,226.55,2541,-0.58,1.53,53.21,0.00,229.71,229.48,229.31,230.79,-78.12,226.33,232.82,0,3.6
2015-09-01T13:00,228.28,229.46,227.71,227.10,1320,-0.62,1.38,51.44,0.00,229.49,229.49,229.16,230.41,-75.94,226.45,232.30,0,3.51
2015-09-01T17:00,227.71,228.64,228.24,226.85,1782,-0.60,1.23,52.91,13.30,229.32,229.58,229.07,230.16,-77.97,226.40,232.19,-0.01,3.39
2015-09-01T21:00,228.24,228.24,227.05,226.60,1162,-0.64,1.07,49.31,0.00,229.19,229.66,229.06,229.73,-101.28,226.19,232.29,-0.02,3.26
2015-09-02T01:00,227.05,229.21,227.85,226.51,1590,-0.59,0.92,51.69,18.06,229.18,229.65,229.08,229.49,-66.36,226.15,232.05,-0.02,3.22
2015-09-02T05:00,228.00,229.47,229.08,227.81,789,-0.46,0.80,55.17,44.46,229.10,229.73,229.02,229.50,-11.71,226.29,231.66,-0.01,3.11
2015-09-02T09:00,229.15,229.97,229.87,228.02,1478,-0.31,0.73,57.29,60.55,229.02,229.73,229.15,229.63,20.60,226.29,231.66,0,3.03
2015-09-02T13:00,229.80,231.89,229.48,229.48,3360,-0.23,0.67,55.88,49.85,229.00,229.56,229.29,229.68,74.44,226.28,231.66,0,2.99
2015-09-02T17:00,229.48,229.99,229.71,228.90,651,-0.16,0.63,56.56,55.01,229.01,229.49,229.25,229.76,27.90,226.54,231.64,0.01,2.85
2015-09-02T21:00,229.71,229.96,228.89,228.51,626,-0.17,0.59,53.41,40.63,229.08,229.40,229.06,229.68,-2.74,226.74,231.58,0,2.75
2015-09-03T01:00,229.02,229.34,228.22,226.54,1879,-0.21,0.53,50.91,19.44,229.12,229.25,228.83,229.49,-65.49,226.64,231.51,0,2.75
2015-09-03T05:00,228.01,228.76,227.50,226.94,459,-0.28,0.46,48.29,0.00,229.00,229.11,228.62,229.20,-80.39,226.61,231.49,0,2.69
2015-09-03T09:00,227.46,228.69,228.00,227.22,897,-0.28,0.40,50.21,21.33,229.00,229.05,228.49,229.04,-69.12,226.81,231.36,0,2.6
2015-09-03T13:00,227.99,228.35,227.40,227.01,1368,-0.30,0.32,47.92,0.00,229.01,229.03,228.39,228.78,-82.86,226.57,231.31,0,2.51
2015-09-03T17:00,227.40,227.55,227.25,226.10,1715,-0.32,0.24,47.33,0.00,228.86,228.91,228.30,228.54,-111.31,226.38,231.05,-0.01,2.43
2015-09-03T21:00,227.29,229.88,228.20,227.01,2553,-0.25,0.18,51.36,40.46,228.69,228.80,228.30,228.49,-18.75,226.29,230.78,-0.01,2.47
2015-09-04T01:00,228.20,231.42,230.41,227.70,3175,-0.06,0.16,59.18,100.00,228.63,228.82,228.48,228.83,100.63,226.13,230.92,0,2.56
2015-09-04T05:00,230.41,230.86,230.19,229.22,1595,0.05,0.18,58.18,91.56,228.61,228.84,228.61,229.09,126.72,226.04,231.04,0,2.49
2015-09-04T09:00,230.20,230.59,230.58,229.07,1032,0.14,0.21,59.49,100.00,228.64,228.95,228.84,229.38,118.70,226.01,231.23,0.01,2.42
2015-09-04T13:00,230.58,231.66,231.35,230.22,1794,0.24,0.27,62.02,100.00,228.75,229.08,229.08,229.76,161.99,225.97,231.56,0.01,2.35
2015-09-04T17:00,231.34,231.61,230.89,230.88,653,0.25,0.34,59.62,83.66,228.87,229.11,229.20,230.01,140.76,226.01,231.77,0.01,2.23
2015-09-04T21:00,230.88,231.03,230.64,230.01,775,0.23,0.39,58.30,74.68,228.98,229.20,229.25,230.18,93.93,226.17,231.91,0.01,2.15
2015-09-05T01:00,230.64,230.99,230.60,230.06,430,0.20,0.44,58.08,73.18,229.11,229.31,229.32,230.32,84.59,226.25,232.07,0.01,2.06
2015-09-05T05:00,230.60,231.49,231.37,230.05,496,0.21,0.50,61.14,94.01,229.26,229.34,229.43,230.57,99.91,226.50,232.25,0.02,2.02
2015-09-05T09:00,231.37,235.66,235.06,231.00,5587,0.44,0.61,71.76,100.00,229.64,229.45,229.84,231.42,229.07,226.04,233.43,0.03,2.21
2015-09-05T13:00,235.00,239.76,235.05,234.64,3074,0.56,0.74,71.71,99.80,229.99,229.56,230.30,232.15,282.62,225.71,234.35,0.02,2.41
2015-09-05T17:00,235.05,237.16,235.84,235.00,1846,0.64,0.91,73.50,100.00,230.31,229.74,230.86,232.92,208.71,225.37,235.29,0.02,2.4
2015-09-05T21:00,235.84,248.48,242.01,235.50,9315,1.05,1.17,82.73,100.00,230.89,230.14,231.79,234.65,292.84,223.96,237.96,0.05,3.15
2015-09-06T01:00,242.01,244.00,239.53,237.06,3640,1.08,1.44,71.89,65.44,231.37,230.49,232.60,235.71,185.95,223.58,239.32,0.04,3.42
2015-09-06T05:00,239.53,242.00,240.74,238.01,1853,1.10,1.71,73.70,63.37,231.89,230.90,233.50,236.83,149.25,223.26,240.82,0.04,3.46
2015-09-06T09:00,240.77,245.99,241.42,240.74,3245,1.09,1.99,74.69,67.38,232.49,231.34,234.38,237.90,156.81,223.10,242.30,0.05,3.59
2015-09-06T13:00,241.43,241.83,240.93,239.52,1567,0.98,2.23,72.58,58.82,233.09,231.78,235.08,238.73,108.66,223.22,243.53,0.04,3.5
2015-09-06T17:00,241.00,242.81,240.98,240.49,855,0.84,2.44,72.66,59.15,233.74,232.20,235.80,239.45,103.68,223.41,244.63,0.04,3.41
2015-09-06T21:00,240.98,242.50,240.76,240.75,919,0.67,2.61,71.61,54.89,234.34,232.66,236.48,240.01,90.65,223.76,245.62,0.02,3.3
2015-09-07T01:00,240.76,241.82,241.49,239.03,1319,0.55,2.74,73.01,60.57,235.01,233.11,237.15,240.61,74.85,224.16,246.64,0.03,3.26
2015-09-07T05:00,241.49,241.50,240.70,240.39,1008,0.37,2.84,69.05,44.50,235.65,233.50,237.81,240.97,69.29,224.59,247.46,0.02,3.11
2015-09-07T09:00,240.70,243.00,241.58,240.24,1707,0.27,2.90,70.94,45.39,236.29,233.89,238.54,241.43,72.72,224.97,248.21,0,3.08
2015-09-07T13:00,241.58,241.78,240.80,240.60,909,0.12,2.93,67.03,0.00,236.79,234.27,239.22,241.67,58.77,225.40,248.83,0.01,2.95
2015-09-07T17:00,240.79,241.70,240.85,240.22,1101,-0.01,2.93,67.16,0.83,237.29,234.64,239.85,241.87,51.73,225.86,249.40,0,2.84
2015-09-07T21:00,240.91,244.77,242.75,240.27,2549,0.01,2.93,71.56,28.85,237.87,235.10,240.36,242.35,74.23,226.31,250.09,0.01,2.96
2015-09-08T01:00,242.98,245.44,245.00,242.60,2791,0.13,2.97,75.72,55.35,238.52,235.66,241.03,243.15,101.53,226.74,251.07,0.02,2.95
2015-09-08T05:00,245.00,247.68,245.06,244.49,4786,0.18,3.01,75.82,100.00,239.20,236.25,241.64,243.83,130.60,227.24,252.01,0.02,2.97
2015-09-08T09:00,245.08,246.52,242.99,242.51,3131,0.04,3.02,65.63,0.00,239.79,236.75,241.71,244.05,97.84,227.82,252.67,0.01,3.04
2015-09-08T13:00,243.00,244.96,244.69,242.84,1877,0.04,3.03,69.28,35.82,240.46,237.32,242.05,244.51,106.93,228.40,253.42,0.01,2.98
2015-09-08T17:00,244.60,244.79,244.20,244.01,1262,-0.03,3.03,67.07,14.13,241.07,237.89,242.28,244.81,106.15,229.02,253.71,0.01,2.82
2015-09-08T21:00,244.20,245.47,244.99,243.50,1664,-0.05,3.01,68.80,31.11,241.54,238.45,242.52,245.19,106.63,229.65,254.09,0.01,2.76
2015-09-09T01:00,244.99,245.57,241.00,240.25,2691,-0.34,2.93,53.51,0.00,241.82,238.80,242.52,244.81,-1.34,230.14,254.10,0,2.94
2015-09-09T05:00,241.10,241.15,240.17,238.38,4327,-0.58,2.79,50.98,0.00,242.03,239.13,242.47,244.32,-101.66,231.09,252.98,0,2.93
2015-09-09T09:00,240.17,240.84,239.78,239.23,1260,-0.75,2.60,49.78,0.00,241.92,239.44,242.40,243.82,-98.18,231.66,252.42,-0.01,2.84
2015-09-09T13:00,240.03,241.90,240.69,239.39,2731,-0.79,2.40,52.58,10.75,241.98,239.75,242.35,243.52,-68.72,232.40,251.68,-0.02,2.81
2015-09-09T17:00,240.68,240.71,239.06,238.51,1692,-0.89,2.18,47.48,0.00,241.90,240.02,242.24,242.97,-110.34,233.01,250.83,-0.02,2.77
2015-09-09T21:00,238.97,239.86,239.13,237.01,1374,-0.93,1.94,47.72,0.85,241.79,240.31,242.08,242.50,-131.05,233.50,250.17,-0.02,2.77
2015-09-10T01:00,239.09,239.57,238.65,237.01,1652,-0.95,1.71,46.20,0.00,241.68,240.58,241.93,242.00,-126.14,233.87,249.57,-0.02,2.76
2015-09-10T05:00,238.52,240.45,240.24,238.43,1514,-0.83,1.50,51.69,18.53,241.65,240.87,241.89,241.83,-72.00,234.30,249.09,-0.02,2.71
2015-09-10T09:00,240.42,241.90,240.56,239.73,3244,-0.70,1.32,52.74,22.08,241.64,241.05,241.75,241.73,-34.97,234.75,248.54,-0.02,2.67
2015-09-10T13:00,240.56,240.85,239.79,239.09,2154,-0.65,1.16,49.93,16.16,241.56,241.21,241.40,241.51,-61.53,234.98,248.22,-0.01,2.6
2015-09-10T17:00,239.75,240.49,239.49,239.01,858,-0.61,1.01,48.85,11.48,241.50,241.33,241.03,241.26,-64.16,235.20,247.79,0,2.52
2015-09-10T21:00,239.40,241.90,241.34,239.39,702,-0.44,0.90,55.32,40.35,241.49,241.31,240.92,241.36,-22.64,235.45,247.60,0.01,2.52
2015-09-11T01:00,241.34,242.42,241.49,239.64,2557,-0.32,0.82,55.80,42.48,241.52,241.38,240.71,241.47,-12.79,235.65,247.46,0,2.54
2015-09-11T05:00,241.47,242.89,241.25,228.42,4518,-0.24,0.76,54.77,89.27,241.54,241.39,240.51,241.52,-123.87,235.94,247.02,0.01,3.39
2015-09-11T09:00,241.25,241.49,240.54,239.51,813,-0.23,0.70,51.73,57.60,241.43,241.36,240.21,241.43,-21.60,236.42,246.09,0.01,3.29
2015-09-11T13:00,240.54,241.59,240.45,239.74,967,-0.23,0.64,51.34,53.54,241.22,241.35,240.18,241.34,-11.35,236.84,245.21,0.01,3.19
2015-09-11T17:00,240.72,241.00,240.60,240.30,686,-0.21,0.59,51.99,60.31,241.00,241.34,240.20,241.28,-2.74,236.90,244.91,0,3.01
2015-09-11T21:00,240.60,241.00,240.60,240.51,179,-0.19,0.54,51.99,60.31,240.89,241.33,240.26,241.22,10.91,237.07,244.33,0,2.83
2015-09-12T01:00,240.60,240.60,240.47,239.82,507,-0.19,0.50,51.30,53.12,240.69,241.30,240.24,241.15,-1.16,237.11,243.92,0,2.68
2015-09-12T05:00,240.47,241.00,240.66,239.88,895,-0.16,0.46,52.29,63.44,240.52,241.30,240.35,241.12,34.75,237.19,243.41,0,2.57
2015-09-12T09:00,240.66,240.78,239.39,239.01,926,-0.23,0.40,45.60,0.00,240.25,241.22,240.37,240.87,-24.35,237.13,243.31,-0.01,2.52
2015-09-12T13:00,239.39,239.47,235.70,235.33,5292,-0.49,0.28,32.56,0.00,240.00,241.05,240.17,240.01,-230.55,236.45,243.54,-0.02,2.63
2015-09-12T17:00,235.76,237.80,235.77,235.51,1483,-0.63,0.12,32.95,1.68,239.79,240.88,239.87,239.27,-205.50,235.95,243.64,-0.02,2.61
2015-09-12T21:00,235.77,236.85,236.06,235.34,846,-0.67,-0.05,34.64,8.95,239.62,240.66,239.57,238.69,-175.97,235.46,243.67,-0.02,2.53
2015-09-13T01:00,235.89,236.47,235.41,235.33,1052,-0.70,-0.22,32.65,0.39,239.36,240.34,239.28,238.07,-155.18,235.09,243.66,-0.02,2.43
2015-09-13T05:00,235.45,235.73,233.92,232.51,1813,-0.77,-0.42,28.59,0.00,239.12,239.97,238.91,237.28,-183.10,234.40,243.84,-0.03,2.49
2015-09-13T09:00,233.92,234.71,233.49,233.48,627,-0.80,-0.62,27.53,0.00,238.85,239.65,238.39,236.52,-155.35,233.74,243.98,-0.03,2.4
2015-09-13T13:00,233.48,233.49,230.60,228.95,4041,-0.96,-0.86,21.69,0.00,238.47,239.18,237.66,235.37,-193.56,232.23,244.53,-0.04,2.55
2015-09-13T17:00,230.60,231.97,230.96,229.51,1838,-0.97,-1.10,23.86,7.09,238.03,238.74,236.97,234.44,-165.63,231.02,244.77,-0.04,2.54
2015-09-13T21:00,231.11,232.48,229.89,229.35,2069,-0.99,-1.35,21.92,0.75,237.52,238.24,236.26,233.46,-146.11,229.79,245.01,-0.04,2.58
2015-09-14T01:00,229.90,230.65,230.09,228.40,1246,-0.93,-1.58,23.18,4.87,237.06,237.87,235.57,232.65,-141.62,228.78,245.09,-0.02,2.56
2015-09-14T05:00,230.09,230.44,229.99,229.15,1188,-0.83,-1.79,22.98,4.22,236.60,237.54,234.87,231.95,-122.42,227.73,245.00,-0.02,2.47
2015-09-14T09:00,229.99,233.90,232.42,229.80,2602,-0.55,-1.93,37.13,50.46,236.18,237.29,234.32,231.77,-72.68,227.14,244.69,-0.02,2.59
2015-09-14T13:00,232.36,232.78,232.25,231.88,971,-0.34,-2.01,36.62,62.44,235.74,237.01,233.77,231.60,-60.86,226.57,244.36,-0.01,2.47
2015-09-14T17:00,232.25,232.90,230.89,230.80,1492,-0.26,-2.08,32.76,71.70,235.25,236.74,233.12,231.23,-67.58,225.91,244.05,-0.01,2.44
2015-09-14T21:00,231.07,232.90,231.70,227.33,1948,-0.13,-2.11,37.02,99.29,234.82,236.49,232.61,231.06,-76.86,225.38,243.70,-0.01,2.66
2015-09-15T01:00,231.60,232.41,231.23,231.10,545,-0.05,-2.12,35.61,90.16,234.39,236.24,232.31,230.84,-53.95,224.83,243.32,0,2.57
2015-09-15T05:00,231.23,232.93,231.04,230.50,1902,0.01,-2.12,35.03,86.40,233.93,235.93,232.00,230.63,-50.76,224.28,242.91,0,2.56
2015-09-15T09:00,231.04,232.38,231.26,230.98,803,0.08,-2.10,36.32,94.75,233.49,235.62,231.68,230.50,-44.35,223.78,242.49,0.01,2.47
2015-09-15T13:00,231.26,231.49,230.24,230.02,1115,0.08,-2.08,33.04,73.51,233.00,235.31,231.33,230.22,-64.91,223.20,242.03,0,2.4
2015-09-15T17:00,230.24,231.48,230.93,229.50,1329,0.13,-2.04,37.18,100.00,232.53,235.02,231.13,230.11,-61.33,222.77,241.61,0,2.37
2015-09-15T21:00,230.93,232.12,232.12,230.77,860,0.25,-1.98,43.64,100.00,232.19,234.71,231.04,230.23,-18.40,222.79,241.24,0,2.3
2015-09-16T01:00,232.00,232.03,231.08,231.08,847,0.27,-1.91,39.79,82.27,231.97,234.37,231.07,230.17,-23.71,222.73,240.83,-0.01,2.21
2015-09-16T05:00,231.08,231.39,227.95,227.38,1956,0.08,-1.89,30.93,38.48,231.60,233.92,230.87,229.58,-159.17,222.33,240.42,-0.01,2.34
2015-09-16T09:00,227.99,229.87,229.00,227.85,1937,0.04,-1.88,36.07,63.36,231.26,233.54,230.81,229.26,-151.20,222.13,239.97,-0.01,2.32
2015-09-16T13:00,229.00,229.02,228.22,227.68,1521,-0.01,-1.89,34.05,24.55,230.92,233.13,230.69,228.86,-175.15,222.08,239.45,-0.01,2.25
2015-09-16T17:00,228.20,229.00,228.99,228.14,1143,0.02,-1.88,37.76,53.74,230.68,232.74,230.62,228.66,-135.87,222.17,238.92,-0.01,2.15
2015-09-16T21:00,228.99,230.80,229.98,228.99,1607,0.12,-1.85,42.27,89.22,230.52,232.39,230.46,228.67,-44.11,222.89,238.13,-0.01,2.12
2015-09-17T01:00,229.98,230.32,229.76,229.05,506,0.17,-1.81,41.55,83.56,230.48,232.03,230.29,228.65,-52.89,223.48,237.42,0,2.06
2015-09-17T05:00,229.76,230.14,230.08,229.04,1383,0.24,-1.75,43.07,95.52,230.43,231.68,230.24,228.69,-45.52,224.35,236.57,0,1.99
2015-09-17T09:00,230.00,235.71,232.32,230.00,3723,0.43,-1.64,52.39,100.00,230.55,231.44,230.28,229.13,127.50,225.23,235.91,0,2.26
2015-09-17T13:00,232.34,235.71,233.80,232.32,2669,0.63,-1.49,57.36,100.00,230.73,231.38,230.45,229.78,173.29,226.05,235.48,0.01,2.34
2015-09-17T17:00,233.82,235.94,233.61,231.40,2153,0.73,-1.30,56.54,96.90,230.90,231.31,230.62,230.31,143.04,226.20,235.44,0.02,2.5
2015-09-17T21:00,233.65,236.26,234.01,233.22,2194,0.79,-1.11,57.90,100.00,230.97,231.24,230.81,230.85,167.02,226.30,235.52,0.02,2.54
