Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2015-09-01 01:00:00,230.65,228.95,229.93,228.95,1610,-0.46,1.81,54.92,49.76,56.95,52.89,62.33,229.1,224.41,218.24,212.8,226.72,233.17,-26.36,0.01,3.76,39.79,13.74,23.41
2015-09-01 05:00:00,229.21,227.1,228.95,228.46,1406,-0.53,1.68,53.6,47.88,55.8,45.07,53.85,229.04,224.56,218.44,212.96,226.61,232.96,-80.47,-0.01,3.64,37.95,16.89,22.41
2015-09-01 09:00:00,229.64,226.55,228.45,228.32,2541,-0.58,1.53,53.21,47.31,55.46,39.32,45.76,228.98,224.71,218.64,213.11,226.59,232.55,-78.12,0.0,3.6,36.0,16.95,21.0
2015-09-01 13:00:00,229.46,227.1,228.28,227.71,1320,-0.62,1.38,51.44,44.74,53.94,34.9,39.76,228.86,224.83,218.82,213.25,226.46,232.29,-75.94,0.0,3.51,34.19,16.11,19.96
2015-09-01 17:00:00,228.64,226.85,227.71,228.24,1782,-0.6,1.23,52.91,47.5,55.08,34.04,36.09,228.81,224.96,219.01,213.4,226.34,232.24,-77.97,-0.01,3.39,32.39,16.03,19.19
2015-09-01 21:00:00,228.24,226.6,228.24,227.05,1162,-0.64,1.07,49.31,42.25,51.99,28.71,32.55,228.65,225.05,219.17,213.54,226.18,232.31,-101.28,-0.02,3.26,30.6,16.0,18.49
2015-09-02 01:00:00,229.21,226.51,227.05,227.85,1590,-0.59,0.92,51.69,46.65,53.85,28.96,30.57,228.57,225.16,219.34,213.68,226.06,232.14,-66.36,-0.02,3.22,29.35,15.02,19.55
2015-09-02 05:00:00,229.47,227.81,228.0,229.08,789,-0.46,0.8,55.17,52.8,56.6,32.02,29.9,228.62,225.31,219.53,213.83,226.15,231.8,-11.71,-0.01,3.11,28.3,14.44,19.4
2015-09-02 09:00:00,229.97,228.02,229.15,229.87,1478,-0.31,0.73,57.29,56.39,58.31,43.24,34.74,228.73,225.49,219.73,213.99,226.15,231.8,20.6,0.0,3.03,27.54,13.76,19.7
2015-09-02 13:00:00,231.89,229.48,229.8,229.48,3360,-0.23,0.67,55.88,54.13,57.13,46.92,40.73,228.8,225.64,219.93,214.15,226.15,231.79,74.44,0.0,2.99,27.61,12.95,23.22
2015-09-02 17:00:00,229.99,228.9,229.48,229.71,651,-0.16,0.63,56.56,55.3,57.67,46.78,45.65,228.88,225.8,220.12,214.3,226.37,231.81,27.9,0.01,2.85,27.29,14.07,22.57
2015-09-02 21:00:00,229.96,228.51,229.71,228.89,626,-0.17,0.59,53.41,50.22,55.03,41.91,45.21,228.88,225.92,220.3,214.45,226.54,231.79,-2.74,0.0,2.75,26.75,14.56,21.71
2015-09-03 01:00:00,229.34,226.54,229.02,228.22,1879,-0.21,0.53,50.91,46.35,52.92,37.82,42.17,228.82,226.01,220.45,214.59,226.45,231.7,-65.49,0.0,2.75,25.1,18.68,20.11
2015-09-03 05:00:00,228.76,226.94,228.01,227.5,459,-0.28,0.46,48.29,42.45,50.7,29.09,36.27,228.7,226.07,220.59,214.71,226.38,231.72,-80.39,0.0,2.69,23.57,17.77,19.12
2015-09-03 09:00:00,228.69,227.22,227.46,228.0,897,-0.28,0.4,50.21,45.96,52.19,25.06,30.66,228.64,226.15,220.74,214.85,226.49,231.68,-69.12,0.0,2.6,22.15,17.04,18.33
2015-09-03 13:00:00,228.35,227.01,227.99,227.4,1368,-0.3,0.32,47.92,42.5,50.25,20.88,25.01,228.53,226.2,220.87,214.97,226.31,231.57,-82.86,0.0,2.51,20.7,16.98,17.62
2015-09-03 17:00:00,227.55,226.1,227.4,227.25,1715,-0.32,0.24,47.33,41.63,49.75,21.37,22.44,228.41,226.24,221.0,215.09,226.32,231.11,-111.31,-0.01,2.43,19.64,18.96,16.86
2015-09-03 21:00:00,229.88,227.01,227.29,228.2,2553,-0.25,0.18,51.36,48.98,52.88,24.22,22.16,228.39,226.32,221.14,215.22,226.59,230.48,-18.75,-0.01,2.47,19.12,17.36,22.28
2015-09-04 01:00:00,231.42,227.7,228.2,230.41,3175,-0.06,0.16,59.18,61.51,59.19,43.52,29.7,228.58,226.48,221.32,215.37,226.62,230.43,100.63,0.0,2.56,19.32,15.54,24.29
2015-09-04 05:00:00,230.86,229.22,230.41,230.19,1595,0.05,0.18,58.18,59.88,58.36,60.45,42.73,228.72,226.62,221.5,215.52,226.59,230.48,126.72,0.0,2.49,19.52,14.8,23.14
2015-09-04 09:00:00,230.59,229.07,230.2,230.58,1032,0.14,0.21,59.49,61.87,59.43,74.15,59.37,228.89,226.78,221.68,215.67,226.49,230.75,118.7,0.01,2.42,19.59,14.57,22.09
2015-09-04 13:00:00,231.66,230.22,230.58,231.35,1794,0.24,0.27,62.02,65.61,61.52,79.56,71.39,229.11,226.96,221.87,215.83,226.32,231.21,161.99,0.01,2.35,20.14,13.93,24.4
