Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2015-08-31T05:00,232.15,225.31,227.29,230.32,2311,-0.78,2.34,60.23,57.28,61.62,36.22,30.24,228.27,223.05,216.95,211.89,225.76,233.94,-21.58,0,4.3,43.33,13.68,26.86
2015-08-31T09:00,232.52,229.50,230.56,231.75,2832,-0.54,2.21,62.47,60.82,63.47,52.3,38.97,228.59,223.39,217.24,212.09,225.95,234.12,46.09,0,4.21,42.64,12.95,26.08
2015-08-31T13:00,233.69,230.60,231.74,231.76,2947,-0.38,2.11,62.49,60.85,63.49,69.37,52.63,228.88,223.72,217.53,212.28,226.44,234.13,67.8,0.01,4.13,42.25,12.24,26.74
2015-08-31T17:00,232.49,230.18,231.76,230.62,951,-0.36,2.02,59.40,56.26,60.82,70.51,64.06,229.04,223.99,217.79,212.46,226.49,234.17,27.56,0,4,41.69,12.49,25.6
2015-08-31T21:00,232.39,229.52,231.06,229.93,1166,-0.39,1.93,57.54,53.55,59.22,63.58,67.82,229.12,224.22,218.03,212.64,226.8,233.38,17.52,0.01,3.92,40.85,13.06,24.21
2015-09-01T01:00,230.65,228.95,229.93,228.95,1610,-0.46,1.81,54.92,49.76,56.95,52.89,62.33,229.1,224.41,218.24,212.8,226.72,233.17,-26.36,0.01,3.76,39.79,13.74,23.41
2015-09-01T05:00,229.21,227.10,228.95,228.46,1406,-0.53,1.68,53.60,47.88,55.80,45.07,53.85,229.04,224.56,218.44,212.96,226.61,232.96,-80.47,-0.01,3.64,37.95,16.89,22.41
2015-09-01T09:00,229.64,226.55,228.45,228.32,2541,-0.58,1.53,53.21,47.31,55.46,39.32,45.76,228.98,224.71,218.64,213.11,226.59,232.55,-78.12,0,3.6,36,16.95,21
2015-09-01T13:00,229.46,227.10,228.28,227.71,1320,-0.62,1.38,51.44,44.74,53.94,34.9,39.76,228.86,224.83,218.82,213.25,226.46,232.29,-75.94,0,3.51,34.19,16.11,19.96
2015-09-01T17:00,228.64,226.85,227.71,228.24,1782,-0.60,1.23,52.91,47.50,55.08,34.04,36.09,228.81,224.96,219.01,213.4,226.34,232.24,-77.97,-0.01,3.39,32.39,16.03,19.19
2015-09-01T21:00,228.24,226.60,228.24,227.05,1162,-0.64,1.07,49.31,42.25,51.99,28.71,32.55,228.65,225.05,219.17,213.54,226.18,232.31,-101.28,-0.02,3.26,30.6,16,18.49
2015-09-02T01:00,229.21,226.51,227.05,227.85,1590,-0.59,0.92,51.69,46.65,53.85,28.96,30.57,228.57,225.16,219.34,213.68,226.06,232.14,-66.36,-0.02,3.22,29.35,15.02,19.55
2015-09-02T05:00,229.47,227.81,228.00,229.08,789,-0.46,0.80,55.17,52.80,56.60,32.02,29.9,228.62,225.31,219.53,213.83,226.15,231.8,-11.71,-0.01,3.11,28.3,14.44,19.4
2015-09-02T09:00,229.97,228.02,229.15,229.87,1478,-0.31,0.73,57.29,56.39,58.31,43.24,34.74,228.73,225.49,219.73,213.99,226.15,231.8,20.6,0,3.03,27.54,13.76,19.7
2015-09-02T13:00,231.89,229.48,229.80,229.48,3360,-0.23,0.67,55.88,54.13,57.13,46.92,40.73,228.8,225.64,219.93,214.15,226.15,231.79,74.44,0,2.99,27.61,12.95,23.22
2015-09-02T17:00,229.99,228.90,229.48,229.71,651,-0.16,0.63,56.56,55.30,57.67,46.78,45.65,228.88,225.8,220.12,214.3,226.37,231.81,27.9,0.01,2.85,27.29,14.07,22.57
2015-09-02T21:00,229.96,228.51,229.71,228.89,626,-0.17,0.59,53.41,50.22,55.03,41.91,45.21,228.88,225.92,220.3,214.45,226.54,231.79,-2.74,0,2.75,26.75,14.56,21.71
2015-09-03T01:00,229.34,226.54,229.02,228.22,1879,-0.21,0.53,50.91,46.35,52.92,37.82,42.17,228.82,226.01,220.45,214.59,226.45,231.7,-65.49,0,2.75,25.1,18.68,20.11
2015-09-03T05:00,228.76,226.94,228.01,227.50,459,-0.28,0.46,48.29,42.45,50.70,29.09,36.27,228.7,226.07,220.59,214.71,226.38,231.72,-80.39,0,2.69,23.57,17.77,19.12
2015-09-03T09:00,228.69,227.22,227.46,228.00,897,-0.28,0.40,50.21,45.96,52.19,25.06,30.66,228.64,226.15,220.74,214.85,226.49,231.68,-69.12,0,2.6,22.15,17.04,18.33
2015-09-03T13:00,228.35,227.01,227.99,227.40,1368,-0.30,0.32,47.92,42.50,50.25,20.88,25.01,228.53,226.2,220.87,214.97,226.31,231.57,-82.86,0,2.51,20.7,16.98,17.62
2015-09-03T17:00,227.55,226.10,227.40,227.25,1715,-0.32,0.24,47.33,41.63,49.75,21.37,22.44,228.41,226.24,221,215.09,226.32,231.11,-111.31,-0.01,2.43,19.64,18.96,16.86
2015-09-03T21:00,229.88,227.01,227.29,228.20,2553,-0.25,0.18,51.36,48.98,52.88,24.22,22.16,228.39,226.32,221.14,215.22,226.59,230.48,-18.75,-0.01,2.47,19.12,17.36,22.28
2015-09-04T01:00,231.42,227.70,228.20,230.41,3175,-0.06,0.16,59.18,61.51,59.19,43.52,29.7,228.58,226.48,221.32,215.37,226.62,230.43,100.63,0,2.56,19.32,15.54,24.29
2015-09-04T05:00,230.86,229.22,230.41,230.19,1595,0.05,0.18,58.18,59.88,58.36,60.45,42.73,228.72,226.62,221.5,215.52,226.59,230.48,126.72,0,2.49,19.52,14.8,23.14
2015-09-04T09:00,230.59,229.07,230.20,230.58,1032,0.14,0.21,59.49,61.87,59.43,74.15,59.37,228.89,226.78,221.68,215.67,226.49,230.75,118.7,0.01,2.42,19.59,14.57,22.09
2015-09-04T13:00,231.66,230.22,230.58,231.35,1794,0.24,0.27,62.02,65.61,61.52,79.56,71.39,229.11,226.96,221.87,215.83,226.32,231.21,161.99,0.01,2.35,20.14,13.93,24.4
2015-09-04T17:00,231.61,230.88,231.34,230.89,653,0.25,0.34,59.62,61.60,59.57,83.59,79.1,229.28,227.11,222.05,215.98,226.29,231.49,140.76,0.01,2.23,20.65,13.6,23.82
2015-09-04T21:00,231.03,230.01,230.88,230.64,775,0.23,0.39,58.30,59.41,58.49,85.02,82.72,229.4,227.25,222.22,216.12,226.39,231.69,93.93,0.01,2.15,20.45,16.06,23.01
2015-09-05T01:00,230.99,230.06,230.64,230.60,430,0.20,0.44,58.08,59.04,58.31,81.77,83.46,229.51,227.38,222.38,216.27,226.46,231.86,84.59,0.01,2.06,20.26,15.53,22.26
2015-09-05T05:00,231.49,230.05,230.60,231.37,496,0.21,0.50,61.14,63.89,60.79,85.79,84.19,229.68,227.54,222.56,216.42,226.69,232.06,99.91,0.02,2.02,20.36,14.73,22.9
2015-09-05T09:00,235.66,231.00,231.37,235.06,5587,0.44,0.61,71.76,77.85,69.93,89.81,85.79,230.17,227.83,222.81,216.6,226.17,233.3,229.07,0.03,2.21,22.13,12.49,33.02
2015-09-05T13:00,239.76,234.64,235.00,235.05,3074,0.56,0.74,71.71,77.76,69.88,84.68,86.76,230.61,228.12,223.05,216.79,225.8,234.26,282.62,0.02,2.41,24.71,10.59,40.2
2015-09-05T17:00,237.16,235.00,235.05,235.84,1846,0.64,0.91,73.50,79.82,71.50,76.85,83.78,231.09,228.42,223.31,216.98,225.4,235.26,208.71,0.02,2.4,27.11,9.9,37.59
2015-09-05T21:00,248.48,235.50,235.84,242.01,9315,1.05,1.17,82.73,88.82,80.31,69.3,76.94,232.08,228.95,223.68,217.23,223.9,238.02,292.84,0.05,3.15,30.63,6.98,52.25
2015-09-06T01:00,244.00,237.06,242.01,239.53,3640,1.08,1.44,71.89,74.07,70.91,66.9,71.02,232.76,229.37,223.99,217.45,223.5,239.4,185.95,0.04,3.42,33.9,5.96,44.66
2015-09-06T05:00,242.00,238.01,239.53,240.74,1853,1.10,1.71,73.70,76.21,72.58,64.05,66.75,233.48,229.81,224.32,217.68,223.22,240.86,149.25,0.04,3.46,36.94,5.47,40.97
2015-09-06T09:00,245.99,240.74,240.77,241.42,3245,1.09,1.99,74.69,77.38,73.49,61.56,64.17,234.2,230.27,224.66,217.92,223.18,242.23,156.81,0.05,3.59,40.03,4.9,44.64
2015-09-06T13:00,241.83,239.52,241.43,240.93,1567,0.98,2.23,72.58,74.46,71.66,62.49,62.7,234.82,230.69,224.98,218.14,223.52,243.23,108.66,0.04,3.5,42.26,7.16,42.53
2015-09-06T17:00,242.81,240.49,241.00,240.98,855,0.84,2.44,72.66,74.57,71.74,61.37,61.81,235.38,231.09,225.3,218.37,223.96,244.08,103.68,0.04,3.41,44.41,6.81,42.51
2015-09-06T21:00,242.50,240.75,240.98,240.76,919,0.67,2.61,71.61,73.04,70.84,59.57,61.14,235.87,231.47,225.61,218.59,224.7,244.68,90.65,0.02,3.3,46.41,6.56,40.9
2015-09-07T01:00,241.82,239.03,240.76,241.49,1319,0.55,2.74,73.01,74.93,72.08,59.92,60.29,236.38,231.86,225.92,218.82,225.61,245.19,74.85,0.03,3.26,47.3,9.93,38.39
2015-09-07T05:00,241.50,240.39,241.49,240.70,1008,0.37,2.84,69.05,69.11,68.71,59.38,59.62,236.77,232.21,226.21,219.04,226.56,245.49,69.29,0.02,3.11,48.13,9.68,37.41
2015-09-07T09:00,243.00,240.24,240.70,241.58,1707,0.27,2.90,70.94,71.82,70.35,60.83,60.04,237.21,232.58,226.52,219.26,227.2,245.97,72.72,0,3.08,49.11,9.06,38.49
2015-09-07T13:00,241.78,240.60,241.58,240.80,909,0.12,2.93,67.03,66.11,67.02,58.8,59.67,237.53,232.9,226.8,219.48,228.04,246.19,58.77,0.01,2.95,50.02,8.8,37.39
